iter	Passed	Remaining
599	5724	32441
600	5733	32425
601	5742	32414
602	5752	32404
603	5760	32388
604	5770	32380
605	5778	32364
606	5787	32349
607	5795	32332
608	5804	32321
609	5813	32307
610	5823	32301
611	5831	32284
612	5841	32277
613	5851	32268
614	5860	32254
615	5870	32248
616	5878	32234
617	5887	32219
618	5898	32215
619	5907	32204
620	5916	32195
621	5926	32186
622	5935	32175
623	5946	32172
624	5955	32160
625	5965	32151
626	5975	32144
627	5983	32128
628	5993	32121
629	6003	32114
630	6011	32098
631	6020	32086
632	6031	32079
633	6040	32068
634	6049	32056
635	6058	32046
636	6068	32040
637	6078	32033
638	6089	32029
639	6099	32022
640	6109	32013
641	6117	31999
642	6128	31993
643	6137	31983
644	6147	31974
645	6155	31960
646	6164	31948
647	6176	31949
648	6184	31934
649	6195	31928
650	6205	31922
651	6216	31923
652	6227	31918
653	6237	31911
654	6246	31901
655	6256	31895
656	6268	31896
657	6279	31891
658	6289	31884
659	6298	31875
660	6310	31877
661	6319	31866
662	6328	31851
663	6337	31841
664	6347	31834
665	6357	31824
666	6367	31820
667	6377	31812
668	6387	31801
669	6396	31791
670	6406	31786
671	6416	31778
672	6425	31766
673	6435	31755
674	6445	31749
675	6455	31740
676	6464	31732
677	6474	31723
678	6484	31715
679	6494	31708
680	6504	31698
681	6514	31695
682	6524	31685
683	6532	31669
684	6541	31657
685	6551	31647
686	6559	31634
687	6569	31626
688	6579	31619
689	6589	31610
690	6598	31598
691	6607	31586
692	6615	31569
693	6625	31560
694	6634	31550
695	6644	31540
696	6653	31529
697	6661	31514
698	6671	31508
699	6681	31499
700	6691	31490
701	6700	31478
702	6709	31466
703	6717	31450
704	6727	31443
705	6740	31450
706	6750	31439
707	6759	31429
708	6768	31419
709	6778	31409
710	6787	31397
711	6796	31385
712	6804	31369
713	6814	31362
714	6824	31354
715	6834	31348
716	6844	31339
717	6853	31326
718	6862	31315
719	6870	31299
720	6880	31289
721	6889	31280
722	6898	31266
723	6908	31258
724	6917	31250
725	6927	31242
726	6937	31234
727	6946	31223
728	6956	31211
729	6965	31200
730	6974	31188
731	6982	31174
732	6992	31167
733	7001	31151
734	7009	31139
735	7019	31131
736	7029	31122
737	7039	31113
738	7049	31105
739	7058	31096
740	7067	31084
741	7076	31073
742	7085	31058
743	7096	31056
744	7106	31049
745	7116	31042
746	7124	31027
747	7134	31016
748	7144	31010
749	7153	31000
750	7162	30985
751	7171	30975
752	7180	30961
753	7189	30950
754	7196	30931
755	7206	30921
756	7215	30911
757	7250	31009
758	7264	31020
759	7274	31013
760	7283	31002
761	7293	30993
762	7304	30988
763	7314	30979
764	7323	30969
765	7332	30955
766	7340	30942
767	7350	30931
768	7359	30921
769	7370	30916
770	7379	30905
771	7389	30896
772	7398	30885
773	7407	30875
774	7415	30859
775	7425	30849
776	7433	30835
777	7443	30828
778	7452	30816
779	7462	30806
780	7472	30798
781	7480	30782
782	7489	30769
783	7497	30755
784	7506	30744
785	7517	30738
786	7525	30724
787	7535	30715
788	7544	30704
789	7554	30694
790	7562	30679
791	7571	30669
792	7581	30660
793	7590	30649
794	7599	30638
795	7608	30624
796	7617	30614
